id;total_service_orders;total_volume;total_weight;total_finished_service_orders;days_to_start;days_to_accept;total_pickup_problems;total_delivery_problems
462969;60;1.2480000000000004;149.11000000000004;60;0 days 11:19:46;0 days 00:17:25;0;6
462880;16;0.16;16.599999999999998;16;0 days 01:15:43;0 days 01:20:59;0;0
462955;56;3.7439999999999993;622.644;56;0 days 10:30:51;0 days 02:19:55;0;0
462887;9;0.09;6.64;6;0 days 02:35:49;0 days 00:51:41;0;3
462886;48;0.48000000000000026;0.0;48;0 days 01:17:16;0 days 02:29:50;0;0
462946;2;0.02;0.644;2;0 days 00:00:28;0 days 00:00:01;0;0
462929;4;0.0;0.0;0;;0 days 00:00:01;0;0
462933;4;0.0;0.0;0;;0 days 00:00:05;0;0
462915;2;0.006;0.0;2;0 days 04:50:13;0 days 00:00:03;0;0
462882;8;0.2;23.198;8;0 days 00:00:30;0 days 00:00:04;0;0
462923;2;0.0;0.0;0;;0 days 00:00:01;0;0
462925;4;0.0;0.0;0;;0 days 00:00:02;0;0
462703;57;1.2160000000000004;52.584999999999994;55;0 days 10:28:51;0 days 01:50:06;4;7
462714;52;2.9339999999999997;143.56800000000004;52;0 days 07:16:09;0 days 03:12:23;2;2
462651;52;1.6500000000000006;123.28200000000002;50;0 days 01:31:35;0 days 12:12:31;4;4
462658;86;3.357999999999997;117.868;86;0 days 09:26:08;0 days 02:44:21;8;8
462717;61;2.1160000000000005;156.81200000000004;61;0 days 10:14:54;0 days 01:08:15;0;9
462659;88;2.7960000000000003;143.31799999999998;88;0 days 11:02:52;0 days 00:12:03;12;18
462700;45;0.8000000000000004;24.540000000000003;45;0 days 12:44:28;0 days 00:09:37;0;9
462697;60;2.090000000000001;109.41200000000002;56;0 days 10:30:00;0 days 00:15:03;2;24
462699;52;1.0820000000000005;238.82199999999992;52;0 days 01:04:35;0 days 10:50:02;0;6
462736;80;1.8920000000000006;77.518;78;;0 days 00:00:10;0;2
462688;46;1.5840000000000007;93.32000000000001;46;0 days 01:56:49;0 days 10:42:07;0;8
462694;51;1.214;145.73600000000002;51;0 days 11:33:22;0 days 00:15:44;0;3
462705;60;2.744;79.704;60;0 days 07:38:00;0 days 01:42:51;0;0
462727;58;2.1920000000000006;433.80999999999983;52;0 days 09:46:26;0 days 00:08:41;0;0
462751;2;0.06;24.0;2;0 days 00:01:22;0 days 00:00:11;0;0
462735;100;3.207999999999998;376.49799999999993;100;0 days 00:49:43;0 days 00:00:12;0;0
462729;14;0.14999999999999997;34.324;14;0 days 04:23:04;0 days 00:00:04;0;0
462650;80;2.989999999999999;1631.7540000000004;80;0 days 10:30:39;0 days 02:46:55;0;0
462742;10;0.272;27.07;10;0 days 02:36:38;0 days 00:00:04;0;0
462737;4;0.04;3.468;4;0 days 02:42:41;0 days 00:00:00;0;0
462683;4;0.8160000000000001;167.4;4;0 days 02:56:33;0 days 08:13:40;0;0
469840;40;5.8000000000000025;1081.2;30;0 days 01:38:55;0 days 13:39:30;14;30
469798;28;0.0;0.028000000000000018;0;0 days 00:01:04;0 days 00:01:20;28;28
469882;37;0.3900000000000001;42.705999999999996;37;0 days 01:38:56;0 days 10:36:24;2;17
469864;44;1.0579999999999998;121.19200000000001;42;;;4;8
469793;55;1.1220000000000003;96.42000000000002;55;0 days 00:00:21;0 days 00:05:15;2;11
469865;18;1.12;76.97;18;;;2;2
469889;20;0.16400000000000003;29.546000000000003;20;0 days 01:00:05;0 days 16:32:45;6;6
469874;24;0.39400000000000013;35.81200000000001;24;0 days 00:00:38;0 days 15:21:05;4;4
469868;56;1.1320000000000003;75.28000000000002;56;0 days 11:44:35;0 days 00:20:14;2;4
469888;14;0.6480000000000001;54.464000000000006;14;0 days 02:00:56;0 days 14:57:37;4;4
469853;18;0.18000000000000002;5.216;2;0 days 18:23:26;0 days 00:00:50;0;16
469875;50;1.5940000000000003;156.02599999999998;50;;;0;2
469788;9;0.09;7.710000000000001;9;0 days 00:12:57;0 days 00:00:14;0;3
469821;14;0.0;8.12;0;22 days 22:44:28;0 days 00:08:40;0;0
469816;8;0.16;8.639999999999999;4;0 days 01:24:55;0 days 00:01:14;0;4
465345;66;0.7800000000000004;99.42100000000003;63;0 days 00:00:27;0 days 00:02:46;21;36
465342;70;0.8120000000000005;105.57399999999998;70;0 days 07:36:55;0 days 01:16:33;2;4
465437;68;1.802000000000001;190.02799999999996;68;0 days 01:14:58;0 days 00:00:09;2;2
465367;13;2.614;549.4920000000001;13;0 days 06:37:51;0 days 00:09:48;0;12
469776;2;0.02;0.62;2;0 days 00:00:09;0 days 01:49:42;0;0
465366;11;0.11200000000000002;24.951999999999998;11;0 days 06:28:33;0 days 00:17:36;0;0
465351;9;0.938;187.64999999999998;6;0 days 06:18:40;0 days 00:34:13;0;0
465397;14;1.0759999999999998;194.34399999999997;14;0 days 00:01:00;0 days 08:42:49;0;0
465356;13;0.42000000000000004;82.64200000000001;7;0 days 06:23:58;0 days 00:25:58;0;0
465387;10;1.4260000000000002;287.244;7;0 days 06:31:25;0 days 00:16:01;0;0
465359;9;0.19200000000000003;38.782;9;0 days 06:50:05;0 days 00:18:52;0;0
465410;9;1.4949999999999999;305.88599999999997;6;0 days 11:48:11;0 days 00:08:44;0;0
465417;26;0.29400000000000004;33.102000000000004;26;0 days 05:56:04;0 days 00:00:05;0;0
465371;11;0.6140000000000001;132.528;11;0 days 06:51:38;0 days 00:17:16;0;0
465402;4;0.24999999999999997;50.248000000000005;4;0 days 07:15:54;0 days 00:14:00;0;0
465411;8;1.24;283.45;8;0 days 00:02:41;0 days 11:55:03;0;0
465414;2;0.104;20.218;0;;0 days 12:10:31;0;0
465384;17;0.35200000000000004;73.172;17;0 days 06:28:34;0 days 00:14:58;0;0
465406;9;2.345;470.45900000000006;6;0 days 00:42:31;0 days 06:55:58;0;0
465404;2;2.64;533.38;2;0 days 00:17:04;0 days 06:51:36;0;0
